"Date","Transaction Type","Particulars","Cash In","Cash Out (Expense)","Balance","Month","Reference/Remark"
"","","","","","=IF(COUNTA(A121:E121)=0,"""",SUM($D$2:D121)-SUM($E$2:E121))","=IF(A121="""","""",TEXT(A121,""mmmm""))",""
"","","","","","=IF(COUNTA(A122:E122)=0,"""",SUM($D$2:D122)-SUM($E$2:E122))","=IF(A122="""","""",TEXT(A122,""mmmm""))",""
"","","","","","=IF(COUNTA(A123:E123)=0,"""",SUM($D$2:D123)-SUM($E$2:E123))","=IF(A123="""","""",TEXT(A123,""mmmm""))",""
"","","","","","=IF(COUNTA(A124:E124)=0,"""",SUM($D$2:D124)-SUM($E$2:E124))","=IF(A124="""","""",TEXT(A124,""mmmm""))",""
"","","","","","=IF(COUNTA(A125:E125)=0,"""",SUM($D$2:D125)-SUM($E$2:E125))","=IF(A125="""","""",TEXT(A125,""mmmm""))",""
"","","","","","=IF(COUNTA(A126:E126)=0,"""",SUM($D$2:D126)-SUM($E$2:E126))","=IF(A126="""","""",TEXT(A126,""mmmm""))",""
"","","","","","=IF(COUNTA(A127:E127)=0,"""",SUM($D$2:D127)-SUM($E$2:E127))","=IF(A127="""","""",TEXT(A127,""mmmm""))",""
"","","","","","=IF(COUNTA(A128:E128)=0,"""",SUM($D$2:D128)-SUM($E$2:E128))","=IF(A128="""","""",TEXT(A128,""mmmm""))",""
"","","","","","=IF(COUNTA(A129:E129)=0,"""",SUM($D$2:D129)-SUM($E$2:E129))","=IF(A129="""","""",TEXT(A129,""mmmm""))",""
"","","","","","=IF(COUNTA(A130:E130)=0,"""",SUM($D$2:D130)-SUM($E$2:E130))","=IF(A130="""","""",TEXT(A130,""mmmm""))",""
"","","","","","=IF(COUNTA(A131:E131)=0,"""",SUM($D$2:D131)-SUM($E$2:E131))","=IF(A131="""","""",TEXT(A131,""mmmm""))",""
"","","","","","=IF(COUNTA(A132:E132)=0,"""",SUM($D$2:D132)-SUM($E$2:E132))","=IF(A132="""","""",TEXT(A132,""mmmm""))",""
"","","","","","=IF(COUNTA(A133:E133)=0,"""",SUM($D$2:D133)-SUM($E$2:E133))","=IF(A133="""","""",TEXT(A133,""mmmm""))",""
"","","","","","=IF(COUNTA(A134:E134)=0,"""",SUM($D$2:D134)-SUM($E$2:E134))","=IF(A134="""","""",TEXT(A134,""mmmm""))",""
"","","","","","=IF(COUNTA(A135:E135)=0,"""",SUM($D$2:D135)-SUM($E$2:E135))","=IF(A135="""","""",TEXT(A135,""mmmm""))",""
"","","","","","=IF(COUNTA(A136:E136)=0,"""",SUM($D$2:D136)-SUM($E$2:E136))","=IF(A136="""","""",TEXT(A136,""mmmm""))",""
"","","","","","=IF(COUNTA(A137:E137)=0,"""",SUM($D$2:D137)-SUM($E$2:E137))","=IF(A137="""","""",TEXT(A137,""mmmm""))",""
"","","","","","=IF(COUNTA(A138:E138)=0,"""",SUM($D$2:D138)-SUM($E$2:E138))","=IF(A138="""","""",TEXT(A138,""mmmm""))",""
"","","","","","=IF(COUNTA(A139:E139)=0,"""",SUM($D$2:D139)-SUM($E$2:E139))","=IF(A139="""","""",TEXT(A139,""mmmm""))",""
"","","","","","=IF(COUNTA(A140:E140)=0,"""",SUM($D$2:D140)-SUM($E$2:E140))","=IF(A140="""","""",TEXT(A140,""mmmm""))",""
"","","","","","=IF(COUNTA(A141:E141)=0,"""",SUM($D$2:D141)-SUM($E$2:E141))","=IF(A141="""","""",TEXT(A141,""mmmm""))",""
"","","","","","=IF(COUNTA(A142:E142)=0,"""",SUM($D$2:D142)-SUM($E$2:E142))","=IF(A142="""","""",TEXT(A142,""mmmm""))",""
"","","","","","=IF(COUNTA(A143:E143)=0,"""",SUM($D$2:D143)-SUM($E$2:E143))","=IF(A143="""","""",TEXT(A143,""mmmm""))",""
"","","","","","=IF(COUNTA(A144:E144)=0,"""",SUM($D$2:D144)-SUM($E$2:E144))","=IF(A144="""","""",TEXT(A144,""mmmm""))",""
"","","","","","=IF(COUNTA(A145:E145)=0,"""",SUM($D$2:D145)-SUM($E$2:E145))","=IF(A145="""","""",TEXT(A145,""mmmm""))",""
"","","","","","=IF(COUNTA(A146:E146)=0,"""",SUM($D$2:D146)-SUM($E$2:E146))","=IF(A146="""","""",TEXT(A146,""mmmm""))",""
"","","","","","=IF(COUNTA(A147:E147)=0,"""",SUM($D$2:D147)-SUM($E$2:E147))","=IF(A147="""","""",TEXT(A147,""mmmm""))",""
"","","","","","=IF(COUNTA(A148:E148)=0,"""",SUM($D$2:D148)-SUM($E$2:E148))","=IF(A148="""","""",TEXT(A148,""mmmm""))",""
"","","","","","=IF(COUNTA(A149:E149)=0,"""",SUM($D$2:D149)-SUM($E$2:E149))","=IF(A149="""","""",TEXT(A149,""mmmm""))",""
"","","","","","=IF(COUNTA(A150:E150)=0,"""",SUM($D$2:D150)-SUM($E$2:E150))","=IF(A150="""","""",TEXT(A150,""mmmm""))",""
"","","","","","=IF(COUNTA(A151:E151)=0,"""",SUM($D$2:D151)-SUM($E$2:E151))","=IF(A151="""","""",TEXT(A151,""mmmm""))",""
"","","","","","=IF(COUNTA(A152:E152)=0,"""",SUM($D$2:D152)-SUM($E$2:E152))","=IF(A152="""","""",TEXT(A152,""mmmm""))",""
"","","","","","=IF(COUNTA(A153:E153)=0,"""",SUM($D$2:D153)-SUM($E$2:E153))","=IF(A153="""","""",TEXT(A153,""mmmm""))",""
"","","","","","=IF(COUNTA(A154:E154)=0,"""",SUM($D$2:D154)-SUM($E$2:E154))","=IF(A154="""","""",TEXT(A154,""mmmm""))",""
"","","","","","=IF(COUNTA(A155:E155)=0,"""",SUM($D$2:D155)-SUM($E$2:E155))","=IF(A155="""","""",TEXT(A155,""mmmm""))",""
"","","","","","=IF(COUNTA(A156:E156)=0,"""",SUM($D$2:D156)-SUM($E$2:E156))","=IF(A156="""","""",TEXT(A156,""mmmm""))",""
"","","","","","=IF(COUNTA(A157:E157)=0,"""",SUM($D$2:D157)-SUM($E$2:E157))","=IF(A157="""","""",TEXT(A157,""mmmm""))",""
"","","","","","=IF(COUNTA(A158:E158)=0,"""",SUM($D$2:D158)-SUM($E$2:E158))","=IF(A158="""","""",TEXT(A158,""mmmm""))",""
"","","","","","=IF(COUNTA(A159:E159)=0,"""",SUM($D$2:D159)-SUM($E$2:E159))","=IF(A159="""","""",TEXT(A159,""mmmm""))",""
"","","","","","=IF(COUNTA(A160:E160)=0,"""",SUM($D$2:D160)-SUM($E$2:E160))","=IF(A160="""","""",TEXT(A160,""mmmm""))",""
"","","","","","=IF(COUNTA(A161:E161)=0,"""",SUM($D$2:D161)-SUM($E$2:E161))","=IF(A161="""","""",TEXT(A161,""mmmm""))",""
"","","","","","=IF(COUNTA(A162:E162)=0,"""",SUM($D$2:D162)-SUM($E$2:E162))","=IF(A162="""","""",TEXT(A162,""mmmm""))",""
"","","","","","=IF(COUNTA(A163:E163)=0,"""",SUM($D$2:D163)-SUM($E$2:E163))","=IF(A163="""","""",TEXT(A163,""mmmm""))",""
"","","","","","=IF(COUNTA(A164:E164)=0,"""",SUM($D$2:D164)-SUM($E$2:E164))","=IF(A164="""","""",TEXT(A164,""mmmm""))",""
"","","","","","=IF(COUNTA(A165:E165)=0,"""",SUM($D$2:D165)-SUM($E$2:E165))","=IF(A165="""","""",TEXT(A165,""mmmm""))",""
"","","","","","=IF(COUNTA(A166:E166)=0,"""",SUM($D$2:D166)-SUM($E$2:E166))","=IF(A166="""","""",TEXT(A166,""mmmm""))",""
"","","","","","=IF(COUNTA(A167:E167)=0,"""",SUM($D$2:D167)-SUM($E$2:E167))","=IF(A167="""","""",TEXT(A167,""mmmm""))",""
"","","","","","=IF(COUNTA(A168:E168)=0,"""",SUM($D$2:D168)-SUM($E$2:E168))","=IF(A168="""","""",TEXT(A168,""mmmm""))",""
"","","","","","=IF(COUNTA(A169:E169)=0,"""",SUM($D$2:D169)-SUM($E$2:E169))","=IF(A169="""","""",TEXT(A169,""mmmm""))",""
"","","","","","=IF(COUNTA(A170:E170)=0,"""",SUM($D$2:D170)-SUM($E$2:E170))","=IF(A170="""","""",TEXT(A170,""mmmm""))",""
"","","","","","=IF(COUNTA(A171:E171)=0,"""",SUM($D$2:D171)-SUM($E$2:E171))","=IF(A171="""","""",TEXT(A171,""mmmm""))",""
"","","","","","=IF(COUNTA(A172:E172)=0,"""",SUM($D$2:D172)-SUM($E$2:E172))","=IF(A172="""","""",TEXT(A172,""mmmm""))",""
